"ID","NAME_TH","APP_NAME_TH","NAME_EN","APP_NAME_EN","GROUP_TYPE_TH","GROUP_TYPE_EN","CATEGORY_TH","CATEGORY_EN","UNIT_TH","UNIT_EN"
W18075,น้ำมันทานตะวันสำเร็จรูป บรรจุขวด (1 ลิตร) ตรากุ๊ก (น้ำมันในประเทศ),น้ำมันทานตะวันสำเร็จรูป บรรจุขวด (1 ลิตร) ตรากุ๊ก (น้ำมันในประเทศ) ขายส่ง,"1-Liter Bottle of Domestic Refined Sunflower Oil (Cook Brand)","1-Liter Bottle of Domestic Refined Sunflower Oil (Cook Brand) Wholesale",พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18076,น้ำมันทานตะวันสำเร็จรูป บรรจุขวด (1 ลิตร) ตราชิม (น้ำมันในประเทศ),น้ำมันทานตะวันสำเร็จรูป บรรจุขวด (1 ลิตร) ตราชิม (น้ำมันในประเทศ) ขายส่ง,"1-Liter Bottle of Domestic Refined Sunflower Oil (Chim Brand)","1-Liter Bottle of Domestic Refined Sunflower Oil (Chim Brand) Wholesale",พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18077,งาเกษตร,งาเกษตร ขายส่ง,Sesame Seeds,Sesame Seeds Wholesale,พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18078,งาดำ,งาดำ ขายส่ง,Black Sesame Seeds,Black Sesame Seeds Wholesale,พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18079,งาขาว เมล็ดใหญ่,งาขาว เมล็ดใหญ่ ขายส่ง,Large White Sesame Seeds,Large White Sesame Seeds Wholesale,พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18080,ละหุ่ง (กะเทาะเปลือก),ละหุ่ง (กะเทาะเปลือก) ขายส่ง,Hulled Castor Seeds,Hulled Castor Seeds Wholesale,พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18081,ผลปาล์มทะลาย คุณภาพเปอร์เซ็นต์น้ำมัน 15% จ.ชลบุรี,ผลปาล์มทะลาย คุณภาพเปอร์เซ็นต์น้ำมัน 15% จ.ชลบุรี ขายส่ง,Palm Fruit from Bunch with 15% Oil Content (Chonburi),Palm Fruit from Bunch with 15% Oil Content (Chonburi) Wholesale,พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18082,ผลปาล์มทะลาย คุณภาพเปอร์เซ็นต์น้ำมัน 17% จ.ชลบุรี,ผลปาล์มทะลาย คุณภาพเปอร์เซ็นต์น้ำมัน 17% จ.ชลบุรี ขายส่ง,Palm Fruit from Bunch with 17% Oil Content (Chonburi),Palm Fruit from Bunch with 17% Oil Content (Chonburi) Wholesale,พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18083,ผลปาล์มทะลาย คุณภาพเปอร์เซ็นต์น้ำมัน คละ จ.ชลบุรี,ผลปาล์มทะลาย คุณภาพเปอร์เซ็นต์น้ำมัน คละ จ.ชลบุรี ขายส่ง,Palm Fruit from Bunch with Varying Oil Content (Chonburi),Palm Fruit from Bunch with Varying Oil Content (Chonburi) Wholesale,พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
W18084,น้ำมันทานตะวันสำเร็จรูป บรรจุขวด (1 ลิตร) ตราองุ่น (น้ำมันในประเทศ),น้ำมันทานตะวันสำเร็จรูป บรรจุขวด (1 ลิตร) ตราองุ่น (น้ำมันในประเทศ) ขายส่ง,"1-Liter Bottle of Domestic Refined Sunflower Oil (Grape Brand)","1-Liter Bottle of Domestic Refined Sunflower Oil (Grape Brand) Wholesale",พืชน้ำมันและน้ำมันพืช,Oil Plant and Plant Oil,ขายส่ง,Wholesale,"",""
