StationID,WmoCode,StationNameThai,StationNameEnglish,StationType,ZipCode,Latitude,Longitude,HeightAboveMSL,HeightofWindWane,HeightofBarometer,HeightofThermometer,province_id
4901001201,48383,มุกดาหาร,MUKDAHAN,สถานีอุตุนิยมวิทยา,49000,16.541388888889,104.72888888889,138.00,11.20,139.50,1.50,PROV38
5001001501,48327,เชียงใหม่,CHIANG MAI,ศูนย์อุตุนิยมวิทยา,50200,18.79,98.976944444444,313.20,2.50,314.00,1.25,PROV39
5009001201,48302,ดอยอ่างขาง,DOI ANG KANG,สถานีอุตุนิยมวิทยา,50320,19.931388888889,99.048333333333,1529.00,14.00,1530.00,1.50,PROV39
5014001301,48326,แม่โจ้ สกษ.,MAE JO AGROMET.,สถานีอุตุนิยมวิทยา(เกษตร),50290,18.783333333333,98.983333333333,316.53,11.20,318.37,1.25,PROV39
5101001201,48329,ลำพูน,LAMPHUN,สถานีอุตุนิยมวิทยา,51000,18.567222222222,99.033888888889,296.42,12.00,298.30,1.50,PROV40
5201001201,48328,ลำปาง,LAMPANG,สถานีอุตุนิยมวิทยา,52000,18.283333333333,99.516666666667,242.00,11.70,243.83,1.20,PROV41
5208001201,48324,เถิน,THOEN,สถานีอุตุนิยมวิทยา,52160,17.636611111111,99.24475,190.89,11.00,192.03,1.55,PROV41
5212001301,48334,ลำปาง สกษ.,LAMPANG AGROMET.,สถานีอุตุนิยมวิทยา(เกษตร),52190,18.316666666667,99.283333333333,315.00,11.00,319.02,1.45,PROV41
5301001201,48351,อุตรดิตถ์,UTTARADIT,สถานีอุตุนิยมวิทยา,53000,17.616666666667,100.1,63.00,14.00,64.00,1.00,PROV42
5401001201,48330,แพร่,PHRAE,สถานีอุตุนิยมวิทยา,54000,18.166666666667,100.16666666667,161.79,12.50,162.80,1.20,PROV43
5501001201,48331,น่าน,NAN,สถานีอุตุนิยมวิทยา,55000,18.779722222222,100.77777777778,200.00,12.07,201.60,1.20,PROV44
5501001301,48333,น่าน สกษ.,NAN AGROMET.,สถานีอุตุนิยมวิทยา(เกษตร),55000,18.866666666667,100.75,264.00,11.00,263.88,1.25,PROV44
5506001401,48315,ท่าวังผา,THA WANGPHA,สถานีอุตุนิยมวิทยา(อุทก),55140,19.110555555556,100.8025,234.70,11.25,236.52,1.25,PROV44
